"word","mean","ipa","exampleSentence","translatedSentence","type"
"than","《比較級の後に用いて》…よりも,に比べて  / 《関係代名詞的に用いて》…よりも","/ðæn/","She is taller than her sister.","彼女は妹よりも背が高い。","NGSL"
"swear","(神などにかけて)誓う《to,by,on》 / 《...を》証言する《to》 / 罰当たりな言葉を使う,《...を》ののしる《at ...》 / ...を誓う / ...だと断言する《that》 / 《...を》...に誓わせる《to ...》","/sweər/","I swear I will never do that again.","もう二度とそれをしないと誓います。","NGSL"
"tend","傾向がある","/tɛnd/","I tend to overthink things.","私は物事を過剰に考えがちです。","NGSL"
"this","《近くの人・物・事を指して》これ,この人,こちら  / 《時間・場所を指して》今,現在,今日;ここ  / 《次に述べること・今述べたことを指して》このこと,これ,こういうこと  / 《that と対照的に》  / (that の前者に対して)後者","/ðɪs/","I will do this [[by myself|by oneself]].","私はこれを自分でやるつもりだ。","NGSL"
"three","3;3の記号(3,?など)  / 〈U〉3時,3分;3歳  / 《複数扱い》3人;3個  / 〈C〉三つ(3人,3個)一組のもの  / (カードゲーム・さいころなどの)3の札,3の目  / 3の,3人の,3個の  / 《補語にのみ用いて》3歳の(で)","/θriː/","I have three cats.","私は猫を3匹飼っています。","NGSL"
"tooth","歯  / 歯状の物,(くし・のこぎり・歯車・フォークなど)歯の働きをする物  /","/tuθ/","The dentist checked my tooth.","歯医者が私の歯を調べた。","NGSL"
"travel","(特に遠くへ)旅行する  / 〈セールスマンなどが〉(…の)注文取りに出る,外交をして回る《+for+名》  / 〈視線・気持ちなどが〉移る,移動する  / 《副詞[句]を伴って》〈音・光などが〉伝わる,進む  / (…と)つきあう《+with(in)+名》  / 《俗》すばやく走る,進む  / 〈ある場所〉‘を'旅行する  / 〈ある距離〉‘を'行く,進む","/'tɹævəl/","I travel around the world every year.","毎年世界中を旅行しています。","NGSL"
"merely","単に","/mɪrli/","It's merely a joke.","それは単なる冗談だよ。","NGSL"
"mere","ほんの,単なる","/mɪər/","That is a mere excuse for idleness.","それは怠ける口実にすぎない。","NGSL"
"overall","全般的に,全面的に, 端から端まで","/ˌoʊvərˈɔl/","Overall, I think the project was a success.","全体的に、私はこのプロジェクトは成功だと思います。","NGSL"
"proceed","取りかかる / (一度やめてまた) 《...を》続ける《with》 / (一度止まってまた)《…へ》進む《to ...》 / (事が)進行する","/prəˈsid/","Let's proceed with the plan.","計画を取りかかりましょう。","NGSL"
"transform","〈他〉〈自〉変形する, 変換する","/ˌtrænsˈfɔrm/","The caterpillar will transform into a butterfly.","毛虫は蝶に変態します。","NGSL"
"moreover","その上, さらに, おまけに","/mɔːrˈoʊvər/","Moreover, she is also a talented musician.","その上、彼女は才能あるミュージシャンでもある。","NGSL"
"noun","名詞","/nɑʊn/","John is a proper noun.","ジョンは固有名詞です。","NGSL"
"normally","正常に,普通に,常態では / 標準的に","/nɔːr.mə.li/","He normally wakes up at 7 am.","彼は通常、朝7時に起きます。","NGSL"
"ugly","(外見・容ぼうが)醜い,ぶかっこうな  / 不快な,いやな(disagreeable)  / (道徳的に)悪い,ひんしゅくを買う  / (天侯・事態などが)険悪な,荒れ模様の  / 《話》不きげんな;気むずかしい;けんか好きな:","/ˈʌɡli/","This is an ugly dress.","これは醜い服です。","NGSL"
"under","《下方の場所・位置》『…の下に』,に覆われて  / 《内部の位置》『…の内側に』,の下に  / (重荷・苦痛など)『を負って』,に圧迫されて  / (支配・保護・影響など)『…を受けて』,のもとで,の状態で  / 《受動状態の継続》『…中』  / (分類項目)『の中に』,に属して  / (地位・数量などが)『…に劣る』,より下の  / (行動などの基準)に従って,基づいて","/ˈʌndər/","The cat is sleeping under the table.","猫はテーブルの下で寝ています。","NGSL"
"understand","〈事〉‘を'理解する,‘の'意味をつかむ  / 〈人〉‘を'理解する,‘の'気持ち(立場)が分かる  / 〈物事〉‘に'精通している,‘を'よく知っている  / …‘と'推測する,思う:《understand+名+to do旨が…すると思う》  / 《understand+that 節…であると聞いている》  / 理解する,意味をつかむ(が分かる)  / 聞いている  / 人の立場を理解する","/ʌndərˈstænd/","I understand the instructions.","私は指示を理解します。","NGSL"
"partly","一部分, 部分的に / 少しは, いくぶんか","/pɑːrtli/","I partly agree with your opinion.","私はあなたの意見に一部同意します。","NGSL"
"until","《継続の期限》...まで, …までずっと  / 《否定語の後に》…まではしない,…になって初めて…する","/ʌnˈtɪl/","Wait until tomorrow morning.","明日の朝まで待ちなさい。","NGSL"
"float","(液体・気体に)浮く,浮かぶ  / 《副詞[句]を伴って》漂うように移動する;ふわふわと動く  / (眼前・心に)浮かぶ;〈うわさなどが〉広まる  / 〈為替相場が〉変動する  / 《副詞[句]を伴って》(水中・空中に)…‘を'浮かせる,漂わせる  / 〈会社・計画など〉‘を'起こす;〈債券〉‘を'発行する  / 〈為替〉‘を'変動相場制にする","/fləʊt/","The boat will float on the water.","ボートは水に浮きます。","NGSL"
"include","〈他〉を含む / 《...の中に》...を入れる, を込める《in, among, with ...》","/ɪnˈkluːd/","I always include a salad with my dinner.","私はいつも夕食にサラダを入れます。","NGSL"
"individual","《名詞の前にのみ用いて》個々の,個別の(separate)  / 《名詞の前にのみ用いて》個人的な,一個人の  / 独特の","/ˌɪndɪˈvɪdʒuəl/","This can't be done by individual effort.","これは個人の力で出来るものではない。","NGSL"
"indicate","…‘を'指し示す,指摘する  / …‘を'簡単に述べる,知らせる","/ˈɪndɪkeɪt/","Can you indicate where the nearest restroom is?","最寄りのトイレはどこかを示していただけますか？","NGSL"
"instance","〈C〉例, 実例 / 場合","/ˈɪnstəns/","Can you give me an instance of how to use this software?","このソフトウェアの使い方の例を教えてもらえますか？","NGSL"
"grin","字《…に》ニヤリと笑う《at ...》；（苦痛・敵意・怒りなどで）《…に》歯をむき出す《at ...》〈C〉にやりとすること","/ɡrɪn/","She gave me a big grin when she saw me.","彼女は私に会った時に大きな笑顔をくれた。","NGSL"
"magazine","雑誌  / 武器弾薬庫,火薬庫  / (連発銃の)弾倉  / (カメラの)フイルム巻き取り枠","/mæɡəˈziːn/","I bought an interesting magazine in the bookstore.","私は書店で面白い雑誌を買った。","NGSL"
"previously","以前に,先に / 前もって","/prɪ'viːəsli/","I have previously visited that restaurant.","私は以前にそのレストランを訪れたことがあります。","NGSL"
"publisher","(書籍などの)出版業者,出版社;《米》新聞発行者","/ˈpʌblɪʃər/","The publisher released a new book last week.","出版業者は先週新しい本を発売しました。","NGSL"
"racial","人種[上]の,民族の,種族の","/ˈreɪʃəl/","Racial discrimination is a serious issue that needs to be addressed.","人種差別は深刻な問題であり、解決すべきです。","NGSL"
"rapidly","速く,すみやかに","/ræpɪdli/","He ran rapidly towards the finish line.","彼は速くゴールラインに向かって走った。","NGSL"
"murder","〈U〉殺人謀殺,殺害  / 〈C〉殺人行為,殺人事件  / 〈U〉《話》危険なこと,命取りになること","/'mɜːrdər/","The detective solved the murder case.","探偵は殺人事件を解決した。","NGSL"
"sake","日本酒","/seɪk/","I bought a bottle of sake for the party.","私はパーティーのために日本酒のボトルを買いました。","NGSL"
"Saturday","土曜日(Saturn's dayの意;《略》Sat.)","/sætərdeɪ/","I'm looking forward to Saturday.","土曜日が楽しみです。","NGSL"
"son","息子 / 《複数形で》(男子の)子孫 / 《文》《比喩(ひゆ)的に》(場所 / 主義などの)子,後継者 / 《年長者が年少者に呼び掛けて》 / お前さん / 《the S-》イエスキリスト","/sʌn/","My son is a student","私の息子は学生です。","NGSL"
"nineteen","〈C〉(数の)19;19の記号(19,XIXなど)  / 〈U〉(24時間制で)19時,19分;19歳  / 〈U〉《複数扱い》19人,19個  / 〈U〉19人(19個)一組のもの  / 19の,19人の,19個の  / 《補語にのみ用いて》19歳の(で)","/ˌnaɪnˈtiːn/","I have nineteen books on my shelf.","私の本棚には19冊の本があります。","NGSL"
"therefore","それゆえ,それで;その結果","/ˈðɛərˌfɔr/","He studied hard, therefore he passed the exam.","彼は一生懸命勉強した。それゆえ、彼は試験に合格した。","NGSL"
"wall","〈C〉(石・れんがなどの)壁,へい  / {U}(胃などの)内壁,内側  / 〈C〉(…の)壁[のようなもの]《+of+名》","/wɔːl/","The wall was painted white.","壁は白く塗られていた。","NGSL"
"west","西の,西部の,西向きの;西からの  /","/wɛst/","I live in the west of the city.","私は市の西部に住んでいます。","NGSL"
"wheel","車輪  / 《the ~》(自動車の)ハンドル,(船の)舵輪(steering wheel)  / (製陶用の)ろくろ(potter's wheel);紡ぎ車(spinning wheel)  / 《複数形で》(…の)推進力,原動力;機関,機構《of+名》  / 回転[運動],旋回[運動]  / 《複数形で》《俗》足,自動車,車","/wiːl/","The wheel turns round and round.","車輪は回り続ける。","NGSL"
"implementation","〈U〉履行, 実行, 実施 / 《ソフトウェアなどの》実装, 導入","/ˌɪmplɪmɛnˈteɪʃən/","Our team is working on the implementation of a new software system that will greatly improve productivity.","私たちのチームは、生産性を大幅に向上させる新しいソフトウェアシステムの実装に取り組んでいます。","NGSL"
"admit","〈他〉を認める / を入れる,に入ることを許す / を収容できる","/ədˈmɪt/","Admitting you were wrong is a major treat","あなたが間違っていたと認めることは大きなご褒美です","NGSL"
"advertise","…を広告する,宣伝する;…を言いふらす  / 《…を求めて》広告を出す《for ...》","/ˈædvərˌtaɪz/","We need to advertise our new product to increase sales.","私たちは新製品を広告して売上を増やす必要があります。","NGSL"
"advertisement","〈C〉広告,宣伝","/ədˈvɜːrtɪsmənt/","The advertisement for the new product was very appealing.","新製品の広告は非常に魅力的だった。","NGSL"
"afford","《[[can]],[[could]],be [[able to]]と共に用いて》〈金・時間・もの〉を持てる余裕がある, ...を買う余裕がある, ...を支払う余裕がある  / 《[[can ~ to do|afford to]]》 ...できる余裕がある / 《文》〈物・事が〉…を与える, を供給する([[provide with]])","/əˈfɔːrd/","I can't afford to buy a new car.","私は新しい車を買う余裕がありません。","NGSL"
"across","を横切って / と交差して / の向こう側に","/əˈkrɔːs/","The cat ran quickly across the street.","猫は素早く通りを横切った。","NGSL"
"arrival","〈U〉(…への)到着《+at(in)+名》  / 〈U〉(目標・目的などへの)到達《+at(in)+名》  / 〈C〉到着した人(物),到着する人(物);生まれた子","/əˈraɪvəl/","The arrival of the train was delayed due to bad weather.","悪天候のため、列車の到着が遅れました。","NGSL"
"white","白い,白色の,純白の  / (恐怖で人・顔・唇などが)青白い,血の気のない(pale)  / (皮膚の色の)白い,白人の  / (髪・ひげなどが)銀色の,改色の  / 雪のある,雪の積もった  / 《おもに古》潔白の,罪のない  / 《英》(コーヒーが)ミルク入りの","/waɪt/","The snow was white and sparkly.","雪は白くてキラキラしていた。","NGSL"
"beneath","...の下に；...の圧力下に,...に支配されて；...より劣って；...に値しない","/bɪˈniːθ/","The cat is sleeping peacefully beneath the old oak tree.","その猫は古いオークの木の下で平和に眠っています。","NGSL"
"blood","血,血液  / 流血(bloodshed);殺人  / 気質,気性,血気,血潮  / 血統,血縁(kinship);生まれ,家柄;《the~》王家の血統  / (人種・出身国の)系","/blʌd/","The sight of blood makes me faint.","血を見ると気が遠くなる。","NGSL"
"venture","〈U〉〈C〉危険な企て,冒険 / 〈C〉冒険に賭けた物","/'vɛn.tʃər/","He started his own venture and became a successful entrepreneur.","彼は自分のベンチャーを始めて成功した起業家になった。","NGSL"
"beside","《位置・場所》…のそばに,のわきに,の横に / …と比較して([[compared with]]) / (要点など)をはずれて([[apart from]])","/bɪˈsaɪd/","He was sitting beside me.","彼は私の隣に座っていた。","NGSL"
"modern","現代の,今の  / (ルネッサンス以後の)近代の,(中世に続く)近世の  / (服装・設備などが)現代的な,モダンな(up-to-date)  / 現代人  / (考え方・生き方などの面で)現代的な人","/'mɒdərn/","I love the modern design of this house.

I like the modern interior.

modern 「近代的な」「現代の」という意味。日本語でも「モダン」という表現をすることができます。","私はこの家の現代的なデザインが好きです。

このモダンな内装が好きです。","NGSL"
"module","【名】(建築・機械工作などの)測定基準;基準単位(寸法)； モジュール","/'mɑːdʒuːl/","This module provides a set of measurement standards for architectural and mechanical works.","このモジュールは、建築や機械工作の測定基準のセットを提供します。","NGSL"
"election","選挙  / 当選","/ɪˈlɛkʃən/","The election is scheduled for next month.","選挙は来月予定されています。","NGSL"
"agent","代理人 / 周旋人  / 働き(作用)を起こすもの / 作用物,薬剤  / (政府機関,特にFBI,CIAなどの)部員,機関員","/ˈeɪ.dʒənt/","The agent signed the contract on behalf of the company.","代理人は会社を代表して契約書に署名した。","NGSL"
"anywhere","《疑問文・条件節で》どこかへ(に),《否定文で》どこへも(にも)  / 《肯定文で》どこにでも,どこへでも  / (数量が)(…から…まで)ぐらい,(ざっと…)ぐらい","/ˈɛniwɛər/","Can we go anywhere for our vacation?","私たちは休暇にどこかへ行くことができますか？","NGSL"
"apartment","アパート,マンション / 豪華な居室 / 部屋 / 貸し室","/əˈpɑrtmənt/","I live in a small apartment in the city.","私は都市の小さなアパートに住んでいます。","NGSL"
"anxious","《...を》心配している, 気になる《about ...》 / 《be ~ to do》 ...を切望して","/ˈæŋkʃəs/","She was anxious about her upcoming job interview.","彼女はこれからの就職面接について心配していました。","NGSL"
"argument","〈U〉〈C〉議論, 口論 / 〈C〉論拠, 理由 /  《文》(本・詩などの)要旨, 概要","/ˈɑːɡjumənt/","I had a heated argument with my friend yesterday.","昨日、友達と激しい口論をしました。","NGSL"
"arrange","を整理する, を整える / (前もって)…を手配する,を準備する  / を編曲する /  手配する,準備する / 《Aと...について》打ち合わせる, 取り決める 《~ with A about ...》","/əˈreɪndʒ/","Please arrange the books on the shelf in alphabetical order.","本をアルファベット順に棚に並べてください。","NGSL"
"arrangement","〈U〉《...の》整理,配置《of》 / 〈C〉整理したもの / 整理の仕方 / 《...の》準備, 手配《for ...》 / 《U/C》取り決め / 和解","/əˈreɪndʒmənt/","I need to make an arrangement of my documents before the meeting.","会議前に私の書類の整理をしなければなりません。","NGSL"
"arrest","(…の罪で)…'を'逮捕する,検挙する《+名+for+名》  / 〈進歩など〉'を'止める  / 〈注意など〉'を'ひく","/əˈrɛst/","The police had to arrest him for his involvement in the robbery.","彼が強盗事件に関与していたため、警察は彼を逮捕しなければならなかった。","NGSL"
"asset","価値のあるもの,宝  / 《複数形で》資産,財産","/'æsɛt/","This painting is not just a decoration, it's an asset.","この絵はただの装飾ではなく、価値のあるものです。","NGSL"
"badly","悪く, まずく, 下手に / 大いに, ひどく","/'bædli/","He played the piano badly.","彼はピアノを下手に弾いた。","NGSL"
"belt","ベルト,バンド,帯  / (特徴のある)地帯,地方  / (機械の)ベルト  / ベルト状のもの  / 《話》ピシャリとたたくと  /","/bɛlt/","I need to tighten my belt.","私はベルトを締める必要があります。","NGSL"
"belief","〈U〉信念 / 《...への》信頼《in ...》 / (あるものの真実性・存在を)信じること,容認《in ...》 / 〈U〉〈C〉《...への》信仰《in ...》","/bɪˈliːf/","His belief in himself has led him to success.","彼自身への信念が彼を成功に導いた。","NGSL"
"blue","青い,あい色の  / 青黒い  / 《話》陰気な,憂うつな","/bluː/","The sky is blue.","空は青いです。","NGSL"
"borrow","(…を担保として…から)…'を'借りる《+名+from+名+on+名》  / 〈言葉・思想・方法など〉'を'借りてまねる,模倣(もほう)する  / 借りる,借金する","/ˈbɑroʊ/","I borrowed a book from the library.","私は図書館から本を借りました。","NGSL"
"bore","《…で》をうんざりさせる,退屈させる《with,by ...》","/bɔːr/","This novel bores me.","この小説は退屈だ。","NGSL"
"branch","枝を出す,枝を広げる  / (川・道・鉄道などが)分岐する","/bræntʃ/","The waterways branch out across the plain.","平野を横切って水路が枝分かれしている。","NGSL"
"campaign","(ある目的を持った一定地域での)軍事行動,作戦,戦闘  / (政治的・社会的・商業的などの目的で行われる)(…の)運動,(特に)宣伝戦,選挙運動《+against(for)+名》  / (…の)運動に参加する,選挙運動をする《+against(for)+名》","/kæmˈpeɪn/","The military launched a campaign to secure the border.","軍事は国境を確保するためのキャンペーンを開始しました。","NGSL"
"ceremony","〈C〉儀式,式典,式【U】(社交上の)礼儀,礼式,作法；形式ばること；うわべだけの行為","/sɛrɪˈmoʊni/","The graduation ceremony was held in the school auditorium.","卒業式は学校の講堂で行われました。","NGSL"
"chamber","【名/C】空間 / 薬室 / 部屋 / 会議場【動/他】に部屋を設ける / を部屋に入れる / (弾)を薬室に込める","/ˈtʃeɪmbər/","The musician entered the chamber to practice his music.","音楽家は音楽を練習するために室内に入った。","NGSL"
"characteristic","〈C〉特徴,特性","/kæɹəktəˈɹɪstɪk/","That is a characteristic inherent in him.","それが彼本来の性格なのだ。","NGSL"
"chat","〈C〉〈U〉《話》(…との)雑談,談笑《+with+名》  / 〈C〉ツグミ類の鳥","/tʃæt/","Let's have a chat over coffee.","コーヒーを飲みながら雑談しましょう。","NGSL"
"cite","(作家・作品から)〈文章・句〉'を'引用する(quote)《+名+from+名》  / …'を'召喚する,呼び出す(summon)  / (証拠・確認などのために)…'を'引き合いに出す  / …‘に'感謝状を出す,'を'表彰する","/saɪt/","She decided to cite a famous quote from the book in her presentation.","彼女はプレゼンテーションでその本から有名な引用を引用することに決めました。","NGSL"
"climate","〈U〉〈C〉気候  / 〈C〉(ある特定の気候をもっている)地方,風土  / 〈U〉〈C〉(地域,時代の)傾向,風潮","/ˈklaɪ.mət/","The climate in this region is very hot and humid.","この地域の気候は非常に暑く湿度が高いです。","NGSL"
"common","(二つ以上のものに)共通の,共同の,共有の  / 一般の,公共の,公衆の  / 普通の,ありふれた  / 慢凡な,並みの  / 品のない,粗野な,野卑な(vulgar)  / (数式で)共通の,公約の通約の・ (文法で)通性の,通格の(男性・女性どちらの格も用いることができる)","/'kɒmən/","Having common interests is important in a relationship.","恋愛関係において共通の趣味を持つことは重要です。","NGSL"
"complex","いくつかの部分から成る,複合の,合成の  / 複雑な,入りくんだ,こみいった(complicated)","/'kɒm.pleks/","The human brain is a complex organ.","人間の脳は複雑な器官です。","NGSL"
"content","〈C〉《複数形で》(容器などにはいっている) 中身,内容物 / 含有量,(容器の)容量 / 〈U〉(書物・演説などの)趣旨","/ˈkɒntɛnt/","The content of the book was very interesting.","本の内容はとても興味深かった。","NGSL"
"contract","(売買,請負などの)契約,約定(agreement),請負  / 契約書","/'kɒn.trækt/","The contract was signed yesterday.","契約は昨日署名されました。","NGSL"
"correct","事実に合った,正しい,正確な  / 標準(因習)に合った,妥当な,適切な(proper)","/kəˈrɛkt/","The answer is correct.","その答えは正解です。","NGSL"
"definition","〈C〉定義,語義の記述  / 〈C〉(本質・特徴を)明確にすること《+of+名》  / 〈U〉(映像・音声などの)鮮明度","/dɛfɪˈnɪʃən/","Can you give me the definition of this word?","この単語の定義を教えてもらえますか？","NGSL"
"proportion","〈C〉《...に対する...の》 割合, 比率 《of ... to ...》 / 〈U〉《...との》 調和 《to ...》","/prəˈpɔːr.ʃən/","The proportion of students who passed the exam is quite high.","試験に合格した学生の割合はかなり高いです。","NGSL"
"proposal","〈U〉提案すること / 〈C〉提案されたこと / 結婚の申し込み","/prəˈpoʊ.zəl/","He made a proposal to his girlfriend.","彼は彼女にプロポーズした。","NGSL"
"defeat","を負かす, を打ち破る","/dɪˈfiːt/","It’s important to learn from defeat and keep moving forward.","敗北から学び、前進し続けることが重要です。","NGSL"
"deeply","深く  / (色が)濃く  / (声が)太く,(音調が)低く  / (程度が)非常に,深く","/diːpli/","She is deeply in love with him.","彼女は彼に深く恋をしている。","NGSL"
"density","〈U〉密集 / 密度, 濃さ","/'dɛnsɪti/","The density of the population in the city is very high.","都市の人口密度は非常に高いです。","NGSL"
"deposit","〈C〉(銀行への) 預金 / 担保 / (自然の作用による)堆積物","/dɪˈpɒzɪt/","I need to make a deposit at the bank.","私は銀行で預金をする必要があります。","NGSL"
"desire","願望,欲望;要望,要求  / 《通例単数形で》望みのもの  / 〈C〉〈U〉(…に対する)性的欲望《+for+名》","/dɪˈzaɪər/","I have a strong desire to travel the world.","私は世界を旅することを切望しています。","NGSL"
"deserve","(賞罰・評価など)に値する, を受ける価値がある / 《...を》 受けるに足る 《of ...》","/dɪˈzɜrv/","He deserves the prize.","彼はその賞に値する。","NGSL"
"develop","(今まではなかったが)…‘を'生じさせる,‘を'現す  / …‘を'発展させる,伸ばす,成長させる  / 〈病気・悪習など〉‘に'だんだん感染する,かかりはじめる,‘を'発病させる  / 〈資源など〉‘を'開発する  / …‘を'十分に考える,〈議論・主題など〉‘を'展開する  / 〈フイルム〉‘を'現像する  / 〈ないもの・隠れているものが〉現れる,明らかになる  / (…から…に)発展する,発育する《+from+名+into+名》  / 〈フイルムが〉現像される","/dɪˈvɛləp/","The new technology will help develop innovative solutions.","新しい技術は革新的な解決策を生み出すのに役立つでしょう。","NGSL"
"differ","違う,異なる；意見を異にする","/'dɪfər/","Their opinions differ on the best way to solve the problem.","彼らの意見は、問題を解決する最良の方法について異なる。","NGSL"
"dominate","…‘を'支配する,‘に'君臨する  / …‘で'優位を占める,幅を利かす  / …‘を'見下ろす位置にある;…‘の'上にそびえ立つ  / (…を)支配する,威圧する《+over+名》  / 《副詞[句]を伴って》優勢である","/dɑməˈneɪt/","The lion is known to dominate the savannah.","ライオンはサバンナの支配者であることで知られています。","NGSL"
"early","(時間・時期的に)早く  / (予定・ふだんより)早く","/ˈɜːrli/","He arrived early this morning.","彼は今朝早く到着しました。","NGSL"
"education","(一般に)教育  / (身につけた)教育,教養,知識  / 教育学,教授法","/ˌɛdʒəˈkeɪʃən/","Education is the key to success.","教育は成功の鍵です。","NGSL"
"eighteen","〈C〉(数の)18;18の記号(18,XVIIIなど)  / 〈U〉(24里間制で)18時,18分;18歳  / 〈U〉《複数扱い》18人,18個  / 〈C〉18(18人,18個)一組のもの  / 18の,18人の,18個の  / 《補語にのみ用いて》18歳で","/ˈeɪ.tin/","She celebrated her eighteenth birthday with a big party.","彼女は大きなパーティーで18歳の誕生日を祝った。","NGSL"
"electric","《名詞の前にのみ用いて》電気の;電気が引き起こす  / 《名詞の前にのみ用いて》電気で動く,電動の;電気を起こす,発電の  / 興奮させる,はらはら(ぞくぞく)させる","/ɪˈlɛktrɪk/","I need to charge my electric car.","私は電気自動車を充電する必要があります。","NGSL"
"employment","〈U〉(人の)雇用  / 〈U〉(物・能力・時間の)使用《+of+名》  / 〈U〉〈C〉職,職業,仕事","/ɪmˈplɔɪmənt/","He is seeking employment.","彼は職を求めている。","NGSL"
"entire","《名詞の前にのみ用いて》全体の, 全部の(whole) / 壊れていない,無傷の / 《名詞の前にのみ用いて》無条件の, 完全な, 全くの","/ɪnˈtaɪər/","The entire team worked together to complete the project.","チーム全体で協力してプロジェクトを完成させました。","NGSL"
"entertainment","〈U〉娯楽,気晴らし,楽しみ  / 〈C〉催し物,余興,演芸  / 〈U〉客呼び,もてなし,歓待","/ɪn.tərˈteɪn.mənt/","I enjoy going to the theater for entertainment.","私は娯楽のために劇場に行くのが好きです。","NGSL"
"enterprise","企業","/ˈɛntərˌpraɪz/","The enterprise is expanding its operations to new markets.","その企業は新たな市場に事業を拡大しています。","NGSL"
"entertain","〈人〉を楽しませる / をもてなす / 客を呼ぶ, 客をもてなす","/ˌɛn.tərˈteɪn/","She knows how to entertain a crowd with her singing.","彼女は歌で人々を楽しませる方法を知っています。","NGSL"
"essay","(ある論題・問題に関する)小論,評論;随筆,エッセイ《+on(upon)+名》  / 《文》試み[ること],企て(attempt)  / …‘を'試みる;…しようとする《+to do》","/ˈɛseɪ/","I need to write an essay on the topic of climate change.","私は気候変動のトピックについての小論を書かなければなりません。","NGSL"
"evil","邪悪な / 不吉な","/ˈiː.vəl/","He is an evil person.","彼は邪悪な人物です。","NGSL"
"evolve","〈他〉を徐々に発展させる / を進化させる / 〈自〉徐々に発展する / 進化する","/ɪˈvɒlv/","Technology continues to evolve at a rapid pace.","テクノロジーは急速に進化し続けています。","NGSL"
"excess","〈U〉超過,過剰 / 不節制〈C〉度を超えた行為 / 暴食","/ɪkˈsɛs/","In a buyers market, there is an excess of goods and prices are lowered, making it advantageous for buyers.","買い手市場では、商品が過剰で価格が下がり、買い手にとって有利になります。","NGSL"
"excitement","〈U〉興奮,動揺  / 〈C〉興奮させるもの(事),刺激物","/ɪkˈsaɪtmənt/","I could feel the excitement in the air as the concert started.","コンサートが始まると空気中に漂う興奮を感じることができました。","NGSL"
"exhibit","〈感情・性質など〉‘を'表す,示す  / …‘を'出品する,陳列する  / 出品物,陳列品  / 《米》展覧会,展示会(exhibition)  / (法律上の)証拠書類(物件)","/ɪɡˈzɪbɪt/","Her smile exhibits her happiness.","彼女の笑顔は彼女の幸せを表しています。","NGSL"
"exist","存在する,実在する  / 生在する,生きている  / 生じる,見られる,起こる","/ɪɡˈzɪst/","Many different species of animals exist in the world.","世界には多くの異なる種類の動物が存在しています。","NGSL"
"executive","実行の, 執行力のある / 行政上の","/ɪɡˈzɛkjətɪv/","The executive decision was made to proceed with the project.","プロジェクトを進めるために、経営陣による決定がなされました。","NGSL"
"expenditure","〈U〉《…に対する時・金・労力などの》消費,支出《of ... on ...》 / 〈C〉〈U〉《…に》消費(支出)されたもり,《…の》費用,経費《on, for ...》","/ɪkˈspɛndɪtʃər/","The government has increased its expenditure on education.","政府は教育への支出を増やしました。","NGSL"
"expense","〈U〉支出, 費用 / 犠牲 / 〈C〉出費の原因","/ɪkˈspɛns/","I need to keep track of my monthly expenses.","私は毎月の支出を記録する必要があります。","NGSL"
"explanation","〈U〉〈C〉(…の)説明,解説,弁明《+of+名》  / 〈C〉(…の)説明(弁明)となる事(物)《+of(for)+名》","/ˌɛkspləˈneɪʃən/","Can you give me an explanation for your behavior?","あなたの行動の説明をしてもらえますか？","NGSL"
"experiment","〈C〉《...の》実験, 試み《in, on, with ...》","/ɪkˈspɛrɪmənt/","I conducted a scientific experiment to test my hypothesis.","私は仮説を検証するために科学実験を行いました。","NGSL"
"experimental","実験の,実験に基づく:  / 実験に使われる,実験用の  / 実験的な,試験的な","/ɪkˌspɛrəˈmɛntəl/","The scientist conducted an experimental study to test the new drug.","科学者は新薬をテストするために実験的な研究を行った。","NGSL"
"explore","〈他〉を探検する / を詳しく調べる〈自〉探検する","/ɪkˈsplɔːr/","I love to explore new places and discover hidden gems.","新しい場所を探検して隠れた宝物を発見するのが大好きです。","NGSL"
"export","(外国へ)〈商品〉‘を'輸出する《+名+to+名》","/ɪkˈspɔrt/","The company plans to export their products to foreign markets.","その会社は自社製品を外国市場に輸出する予定です。","NGSL"
"fantastic","異様な, 風変わりな / 想像上の, 根拠のない / 《話》とてもすばらしい","/fænˈtæstɪk/","The view from the top of the mountain was fantastic.","山の頂上からの景色は異様に素晴らしかった。","NGSL"
"federal","連邦の","/'fɛdərəl/","The federal government is responsible for national defense.","連邦政府は国防に責任を持っています。","NGSL"
"fee","〈C〉料金,報酬,手数料《for》〈U〉領地","/fiː/","There is a fee for using the gym.","ジムの利用には料金がかかります。","NGSL"
"forever","永久に,永遠に  / 常に,絶えず","/fɔːrˈɛvər/","Love is forever.","愛は永久に続く。","NGSL"
"format","(書籍の)体裁,型,判  / (ラジオ・テレビ番組などの)構成","/'fɔːrmæt/","The format of the book is very user-friendly.","この本の体裁はとても使いやすいです。","NGSL"
"formation","〈U〉(…の)形成,構成,育成《+of+名》  / 〈C〉形成されたもの,構成物;(その)構造,組織  / 〈U〉〈C〉隊形,陣形","/fɔrˈmeɪʃən/","The formation of the new committee was announced today.","新しい委員会の設立が今日発表されました。","NGSL"
"former","《名詞の前にのみ用いて》かつての,以前の  / 《the ~》(二つのうちの)前者(の)","/'fɔːrmər/","The former president of the company retired last year.","会社の前社長は去年引退しました。","NGSL"
"fortune","〈U〉運,運勢,運命  / 〈U〉〈C〉幸運;《F-》運命の女神  / 〈U〉富(とみ),財産(riches, wealth);〈C〉大金,巨万の富","/fɔrˈtʃun/","She had the good fortune to win the lottery.","彼女は宝くじに当たるという幸運を得た。","NGSL"
